id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
56436;essence lavender;Donna Karan;;women;4,06;33;2008;;;;;;lavender;aromatic;fresh spicy;;
56437;essence wenge;Donna Karan;;women;4,35;172;2008;dark woodsy notes;Vanilla, Sandalwood and Black Pepper;Spicy Notes;Rodrigo Flores-Roux;;woody;warm spicy;vanilla;powdery;fresh spicy
56438;dkny golden delicious;Donna Karan;;women;3,84;1,691;2010;Red Apple, African Orange Flower and Plum;Lily-of-the-Valley, Lily, Orchid and Rose;Sandalwood, Musk and Teak Wood;;;white floral;fruity;sweet;fresh;woody
56439;dkny golden delicious eau so intense;Donna Karan;;women;3,93;126;2012;Red Apple, Mirabelle and Orange Blossom;Casablanca Lily, White Rose and Vanilla Orchid;Musk, Sandalwood and Teak Wood;;;white floral;fruity;sweet;woody;powdery
56440;dkny golden delicious skin hydrating eau de toilette;Donna Karan;;women;3,86;37;2013;Red Apple, Orange Blossom and Plum;Yellow Water Lily, Lily, Orchid and Rose;Sandalwood, Teak Wood and Musk;;;white floral;fruity;floral;woody;sweet
56441;dkny be delicious art;Donna Karan;;women;3,73;30;2013;Green Apple, Litchi and Black Currant;Mimosa and Rose;Sandalwood and Musk;;;fruity;powdery;woody;yellow floral;fresh
56442;dkny fresh blossom art;Donna Karan;;women;3,7;27;2013;Pink Grapefruit, Red Apple and Cassis;Rose, Freesia and Magnolia;Musk, Sandalwood and Cedar;;;citrus;floral;fruity;woody;rose
56443;dkny golden delicious art;Donna Karan;;women;4,28;25;2013;Raspberry, Mango and Bergamot;Orange Blossom, Lily-of-the-Valley and Gardenia;Sandalwood, Apple Blossom and Crystal Amber;;;white floral;fruity;sweet;citrus;tropical
56444;dkny men summer 2013;Donna Karan;;men;4,17;6;2013;;;;;;fresh spicy;citrus;aromatic;marine;warm spicy
56445;dkny women summer 2013;Donna Karan;;women;3,44;9;2013;Pear, Grapefruit and Ginger;Raspberry, Orange Blossom, Lily-of-the-Valley and Cyclamen;Musk;;;fruity;white floral;citrus;sweet;fresh
56446;dkny love from new york for men;Donna Karan;;men;3,54;35;2009;;;;;;citrus;aromatic;woody;warm spicy;fresh spicy
56447;dkny love from new york for women;Donna Karan;;women;3,72;228;2009;;;;;;floral;fruity;citrus;aquatic;white floral
56448;pure dkny;Donna Karan;;women;3,85;1,910;2010;;;;Olivier Cresp;;floral;woody;white floral;powdery;amber
56449;pure dkny a drop of rose;Donna Karan;;women;3,93;487;2012;;;;;;rose;floral;citrus;woody;fruity
56450;pure dkny a drop of vanilla;Donna Karan;;women;4,05;301;;;;;;;floral;vanilla;powdery;woody;aquatic
56451;pure dkny verbena;Donna Karan;;women;3,84;739;2011;Lemon Verbena and Basil;Peony, Honeysuckle and Jasmine;Seaweed, Vetiver and Amber;;;aromatic;citrus;fresh spicy;white floral;green
56452;dkny red delicious;Donna Karan;;women;3,59;2,080;2006;Raspberry and Litchi;Apple, Rose and Patchouli;Leather, Amber and Vanilla Pod;Maurice Roucel;;fruity;fresh;sweet;rose;tropical
56453;dkny red delicious charmingly delicious;Donna Karan;;women;3,66;79;2008;;;;Maurice Roucel;;fruity;violet;powdery;rose;vanilla
56454;dkny red delicious men;Donna Karan;;men;3,76;463;2006;;;;;;warm spicy;woody;rum;citrus;earthy
56455;ambery cedarwood;Dossier;;unisex;4,0;62;2022;Cardamom, Mandarin Orange and Orange Blossom;Cedar and Jasmine Sambac;Amber, Vanilla and Heliotrope;;;woody;white floral;amber;citrus;warm spicy
56456;ambery vanilla;Dossier;;women;4,21;200;2022;Pink Pepper, Licorice, Pear and Mandarin Orange;Orange Blossom and Jasmine;Vanilla, Coffee, Cedar and Patchouli;;;soft spicy;sweet;woody;white floral;vanilla
56457;aquatic vanilla;Dossier;;unisex;3,9;10;2024;Marine notes, Red Fruits and Rose;Vanilla, Coconut and Orchid;Sandalwood, Benzoin and Musk;;;vanilla;marine;aromatic;sweet;coconut
56458;caramelized lavender & hazelnut;Dossier;;unisex;3,67;9;2024;Hazelnut;Orange, Violet and Lavender;Patchouli, Vetiver, Suede and Ambroxan;;;woody;patchouli;nutty;citrus;earthy
56459;floral honeysuckle;Dossier;;women;4,04;54;2018;Honeysuckle, Green Leaves and Orange;Jasmine Sambac and Tuberose;Orris, Sandalwood and Vanilla;;;white floral;green;woody;tuberose;powdery
56460;floral marshmallow;Dossier;;women;4,16;486;2021;Marshmallow, Neroli and Bergamot;Orange Blossom, Honeysuckle, Jasmine and Orris;Vanilla, Musk and Amber;;;white floral;sweet;powdery;citrus;vanilla
56461;floral violet;Dossier;;unisex;4,73;11;2020;Strawberry, Watermelon and Pomelo;Jasmine, Violet and Gardenia;Vanilla, Musk and Woody Notes;;;fruity;sweet;white floral;ozonic;aquatic
56462;fruity almond;Dossier;;women;4,08;136;2022;Almond and Peach;Orange Blossom, Orris and Tuberose;Tonka Bean, Cacao and Vanilla;;;vanilla;sweet;almond;cacao;fruity
56463;fruity brown sugar;Dossier;;women;3,7;86;2022;Raspberry, Pear and Bergamot;Brown sugar, Orange Blossom and Jasmine;Amber, Patchouli and Vanilla;;;sweet;fruity;citrus;amber;white floral
56464;gourmand white flowers;Dossier;;women;4,05;133;2021;Green Tea, Bergamot, Red Berries and Freesia;Orchid, White Flowers and Rose;Patchouli, Caramel, Vanilla and Musk;;;patchouli;sweet;caramel;woody;floral
56465;green verbena;Dossier;;unisex;4,0;14;2021;Verbena, Peppermint and Green Leaves;Watery Notes, Violet Leaves and Orris;Ambergris, Sandalwood and Patchouli;;;green;aquatic;citrus;aromatic;woody
56466;musky aldehydes;Dossier;;unisex;4,12;8;2022;Aldehydes, Peony, Lily and Pink Pepper;Rose, Jasmine, Freesia and Violet;Sandalwood;;;aldehydic;fresh;floral;rose;white floral
56467;musky gaiac;Dossier;;unisex;3,69;54;2021;Olibanum;Guaiac Wood and Cedar;Musk;;;woody;powdery;musky;;
56468;oud & rose on fire;Dossier;;unisex;3,6;5;2023;Honey, Pear and Pink Pepper;Rose, Oud and Saffron;Vanilla, Myrrh, Musk and Plum;;;honey;sweet;rose;floral;fruity
56469;spicy vanilla;Dossier;;unisex;3,33;3;2023;Lemongrass, Black Pepper and Nutmeg;Patchouli, Orris and Rose;Opoponax, Vanilla and Amber;;;citrus;fresh spicy;amber;balsamic;sweet
56470;woody geranium;Dossier;;men;3,33;6;2021;Mint, Red Apple and Pineapple;Geranium and Lavender;Cedar, Sandalwood and Tonka Bean;;;woody;aromatic;fresh spicy;green;fruity
56471;woody sandalwood;Dossier;;unisex;3,75;198;2021;Violet Leaves and Cardamom;Cedar, Ambroxan, Cypriol Oil or Nagarmotha and Orris;Sandalwood, Musk and Amber;;;woody;warm spicy;powdery;ozonic;amber
56472;woody vetiver;Dossier;;men;4,0;20;2021;Pink Pepper, Bergamot and Bitter Orange;Vetiver, Cedar and Myrrh;Sandalwood, Oakmoss and Musk;;;woody;aromatic;earthy;soft spicy;amber
56473;ambra dr. vranjes firenze;Dr Vranjes Firenze;;unisex;4,3;23;2021;;;;;;amber;woody;patchouli;warm spicy;powdery
56474;ginger lime dr. vranjes firenze;Dr Vranjes Firenze;;unisex;3,9;21;2021;;;;;;citrus;warm spicy;fresh spicy;conifer;
56475;leather oud dr. vranjes firenze;Dr Vranjes Firenze;;unisex;4,28;18;2021;;;;;;oud;leather;rose;animalic;floral
56476;milano dr. vranjes firenze;Dr Vranjes Firenze;;unisex;3,79;19;2021;;;;;;woody;warm spicy;patchouli;powdery;fresh spicy
56477;peonia black jasmine dr. vranjes firenze;Dr Vranjes Firenze;;unisex;2,71;7;2021;Hyacinth, Lily of the Valley and Orange Blossom;Peony, Jasmine and Cyclamen;Musk, Ylang-Ylang and Cloves;;;floral;white floral;green;fresh;rose
56478;rosa tabacco dr. vranjes firenze;Dr Vranjes Firenze;;unisex;4,04;26;2022;;;;;;tobacco;vanilla;sweet;rose;powdery
56479;rosso nobile dr. vranjes firenze;Dr Vranjes Firenze;;unisex;4,02;49;2022;Grapes and Wild Berries;Magnolia and Violet;Woody Notes;;;fruity;woody;sweet;floral;
56480;ambra e iris dr. vranjes firenze;Dr Vranjes Firenze;;women;4,29;7;;Patchouli;Amber;Iris and Myrhh;Paolo Vranjes;;amber;patchouli;woody;warm spicy;earthy
56481;bergamotto e mirto marino dr. vranjes firenze;Dr Vranjes Firenze;;women;4,25;8;;Neroli and Bergamot;Myrtle;Clover;Paolo Vranjes;;citrus;aromatic;fresh spicy;floral;green
56482;gigember e estragone dr. vranjes firenze;Dr Vranjes Firenze;;men;3,86;7;;Mint;Ginger and Pepper;Tarragon;Paolo Vranjes;;warm spicy;aromatic;fresh spicy;green;anis
56483;rosa e cassis dr. vranjes firenze;Dr Vranjes Firenze;;women;3,75;8;;Cassis;Rose;Jasmine and Bitter Orange;Paolo Vranjes;;rose;aromatic;fruity;green;soft spicy
56484;vetiver e poivre dr. vranjes firenze;Dr Vranjes Firenze;;men;3,12;8;;Pepper;Amber;Vetiver;Paolo Vranjes;;aromatic;woody;fresh spicy;earthy;amber
56485;zagara e patchouli dr. vranjes firenze;Dr Vranjes Firenze;;men;3,71;7;;Pepper and Mint;African Orange Flower and Bergamot;Patchouli;Paolo Vranjes;;fresh spicy;patchouli;warm spicy;green;aromatic
56486;2 wood dsquared²;DSQUARED2;;unisex;3,88;516;2021;Lemon, Citron and Pink Pepper;Cedar, Haitian Vetiver, Cypress and Silver Fir;Musk and Amber;Olivier Cresp;;woody;citrus;aromatic;musky;fresh
56487;green wood dsquared²;DSQUARED2;;men;4,0;825;2019;Lemon, Bourbon Pepper and Santolina;Vetiver, Cedar and Resins;Ambroxan, Cypriol Oil or Nagarmotha and Musk;;;woody;aromatic;amber;citrus;earthy
56488;he wood dsquared²;DSQUARED2;;men;4,07;1,797;2007;Violet and Violet Leaf;Cedar and Vetiver;Fir, Musk and Amber;Daphné Bugey;;woody;powdery;violet;aromatic;ozonic
56489;he wood cologne dsquared²;DSQUARED2;;men;4,11;161;2017;Silver Fir, Musk, Lemon, Mandarin Orange and Amber;Violet, Violet Leaf and Water Notes;Cedar and Vetiver;Daphné Bugey;;woody;aromatic;powdery;aquatic;violet
