id;Perfume;Brand;Country;Gender;Rating Value;Rating Count;Year;Top;Middle;Base;Perfumer1;Perfumer2;mainaccord1;mainaccord2;mainaccord3;mainaccord4;mainaccord5
6853;waterlily-cologne;jo-malone-london;UK;unisex;3,82;177;2020;neroli;water lily, jasmine sambac;white musk;unknown;unknown;floral;white floral;aquatic;fresh;musky
6854;tropical-cherimoya-cologne;jo-malone-london;UK;unisex;3,82;287;2018;passion flower, pear;cherimoya;tonka bean, copahu balm;unknown;unknown;fruity;sweet;floral;amber;unknown
6855;blackberry-bay-cologne;jo-malone-london;UK;unisex;3,82;67;2021;blackberry;bay leaf;cedar;fabrice pellegrin;unknown;fruity;fresh spicy;woody;camphor;aromatic
6856;it-s-sunny-hunny;juicy-couture;USA;women;3,82;50;2021;blood orange, italian lemon, bergamot;honeysuckle, jasmine, peony;amber, sandalwood, musk;unknown;unknown;citrus;white floral;fruity;amber;powdery
6857;flower-tag-eau-de-parfum;kenzo;France;women;3,82;404;2012;rhubarb, black currant, grapefruit;gardenia, peony, jasmine;praline, musk, vanilla, patchouli;olivier cresp;unknown;fruity;sweet;white floral;green;floral
6858;rappelle-toi;l-artisan-parfumeur;France;unisex;3,82;525;2014;gin, sichuan pepper;gardenia, incense;honey, sandalwood, musk;bertrand duchaufour;unknown;white floral;woody;honey;aromatic;fresh spicy
6859;obscuratio-25;l-artisan-parfumeur;France;unisex;3,82;146;2021;ylang-ylang;bourbon vanilla;patchouli;daphné bugey;unknown;patchouli;woody;yellow floral;vanilla;sweet
6860;living-lalique;lalique;France;women;3,82;1180;2015;lavender, bergamot, mint;black pepper, iris, nutmeg, rose;vetiver, cashmeran, sandalwood, cedar, tonka bean, orris, vanilla, labdanum;richard ibanez;unknown;woody;fresh spicy;powdery;aromatic;iris
6861;encre-indigo;lalique;France;men;3,82;397;2023;juniper berry, pink pepper, bergamot;black tea, saffron, bay leaf;madagascar vetiver, patchouli, ambergris;annick menardo;unknown;aromatic;woody;fresh spicy;green;earthy
6862;idole;lancome;France;women;3,82;9462;2019;pear, bergamot, pink pepper;rose, jasmine;white musk, vanilla, patchouli, cedar;unknown;unknown;rose;musky;fruity;sweet;white floral
6863;tresor-sparkling;lancome;France;women;3,82;129;2007;pear, bergamot, pink pepper;bulgarian rose, violet;sandalwood, musk, labdanum, heliotrope;alienor massenet;sophia grojsman;powdery;rose;fruity;sweet;musky
6864;ser-hubbee;lattafa-perfumes;UAE;women;3,82;50;2022;cyclamen, almond, orange;jasmine, amaryllis, peony;vanilla, musk;unknown;unknown;floral;fresh;almond;fruity;white floral
6865;redcolorado;m-micallef;France;unisex;3,82;127;2023;cypress, pine, fir, green leaves, bergamot;pine, guaiac wood, woodsy notes, patchouli, cedar, sandalwood, rose;leather, vanilla;urs castelletti;unknown;woody;aromatic;unknown;unknown;unknown
6866;mon-parfum-pearl;m-micallef;France;women;3,82;312;2018;rose, blackberry, mandarin orange;peony, may rose, heliotrope;powdery notes, white musk, vanilla pod;unknown;unknown;powdery;floral;rose;fresh;musky
6867;under-the-lemon-tree;maison-martin-margiela;France;unisex;3,82;2765;2018;lime, petitgrain, cardamom;green tea, mate, coriander;white musk, cedar, rock rose;unknown;unknown;citrus;green;aromatic;woody;fresh spicy
6868;so-blue;mancera;France;unisex;3,82;528;2015;fruits, lemon, mandarin orange, bergamot, pepper;bulgarian rose, sea notes, violet, patchouli;musk, amber, vanilla, sandalwood, oakmoss;pierre montale;unknown;citrus;fruity;powdery;rose;marine
6869;vanille-exclusive;mancera;France;unisex;3,82;907;2018;osmanthus, white peach, whipped cream, brown sugar;indian tuberose, violet, egyptian jasmine;madagascar vanilla, white musk, amber, woodsy notes;unknown;unknown;vanilla;sweet;fruity;powdery;floral
6870;daisy-daze;marc-jacobs;USA;women;3,82;102;2019;mandarin orange;mirabelle;musk;alberto morillas;unknown;citrus;musky;fruity;powdery;sweet
6871;daisy-love-sunshine;marc-jacobs;USA;women;3,82;104;2019;cloudberry, bergamot, lime;citruses, floral notes;driftwood, cashmere musk;alberto morillas;unknown;citrus;floral;fresh spicy;aromatic;woody
6872;pink-honey;marc-jacobs;USA;women;3,82;98;2014;punch, mandarin orange, pear;honeysuckle, orange blossom, peach;honey, woody notes, vanilla;ann gottlieb;annie buzantian;fruity;white floral;sweet;citrus;honey
6873;marc-jacobs-pear-splash-2016;marc-jacobs;USA;unisex;3,82;180;2016;pear, bergamot, lemon;gin, juniper, freesia;teak wood, musk, amber;honorine blanc;unknown;aromatic;citrus;woody;fruity;fresh spicy
6874;aoud-ever;montale;France;unisex;3,82;241;2012;citron, bergamot, agarwood (oud), calabrian mandarin;vetiver, white sandalwood, black pepper, patchouli;leather, ambergris, tonka bean;pierre montale;unknown;citrus;woody;fresh spicy;aromatic;oud
6875;aqua-gold;montale;France;unisex;3,82;257;2018;citruses, lavender;jasmine, orange blossom;cedar, white musk, leather;unknown;unknown;citrus;white floral;woody;lavender;fresh
6876;crystal-aoud;montale;France;unisex;3,82;286;2008;melon, green apple, mandarin orange;agarwood (oud), teak wood, patchouli, sandalwood;vanilla, saffron, white musk;pierre montale;unknown;oud;woody;fruity;fresh;warm spicy
6877;explorer-platinum;montblanc;France;men;3,82;973;2023;violet leaves;clary sage;cedarwood;bruno jovanovic;unknown;aromatic;woody;ozonic;soft spicy;aquatic
