id|Perfume|Brand|Country|Gender|Rating Value|Rating Count|Year|Top|Middle|Base|Perfumer1|Perfumer2|mainaccord1|mainaccord2|mainaccord3|mainaccord4|mainaccord5
342|berriessence|brocard|Russia|women|3,29|139|2018|forest fruits, blackberry, litchi|sorbet, raspberry, violet, rose petals|vanilla sugar, musk, woody notes|alexandre freile|unknown|fruity|sweet|woody|unknown|unknown
76822|koke shimizu (moss water)|Parfum Satori|unknown|unisex|4,58|19|2005|Bergamot, Herbal Notes and Lemon|Lily-of-the-Valley and Jasmine|Oakmoss, Woody Notes, Musk and Patchouli|Satori Osawa|unknown|citrus|woody|mossy|earthy|green
50961|dynastie royale|Ausmane Paris|unknown|unisex|0|0|2019|Sicilian Lemon, Orange and Haitian Vetiver|Bulgarian Rose, Cardamom and Indian Jasmine|Cambodian Oud, Patchouli and Amber|unknown|unknown|woody|citrus|warm spicy|aromatic|amber
78061|vetyver|Monreale|unknown|men|0|0|2021|unknown|unknown|unknown|Thomas Tsavdaridis|unknown|amber|woody|smoky|aromatic|balsamic
7683|verbena-freesia-musk|dame-perfumery|USA|women|3,84|63|2014|lemon verbena, lemon, kumquat, bergamot|freesia, orange blossom, lily|musk, woodsy notes|jeffrey dame|unknown|citrus|floral|musky|aromatic|white floral
60272|masquerade|Impulse|unknown|women|4,33|27|1988|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown
70420|elixir floral rosa nobilis|Viorica Cosmetics|unknown|women|4,0|1|0|Citruses|Rose, Jasmine and Iris|White Musk and Vanilla|unknown|unknown|rose|powdery|floral|citrus|white floral
87306|zebra for him|Cranford|unknown|men|0|0|0|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown|unknown
56819|vers la violette|DSH Perfumes|unknown|unisex|3,64|11|2013|unknown|unknown|unknown|Dawn Spencer Hurwitz|unknown|powdery|musky|citrus|woody|green
18032|c4shmer4n-2019|zara|Spain|men|4,15|103|2019|bergamot|cashmeran|tonka bean|unknown|unknown|woody|amber|musky|powdery|vanilla
61470|king of ocean|Kamila Robinson|unknown|unisex|4,33|3|2020|unknown|unknown|unknown|Kamila Robinson|unknown|citrus|amber|aromatic|woody|salty
18915|lumiere-enchantee|in-the-box|Brazil|women|4,18|33|2021|blueberry, grapefruit, bergamot|rose, magnolia, ylang-ylang, jasmine, tonka bean|musk, vanilla, amber, patchouli, cedar|unknown|unknown|floral|sweet|musky|citrus|fruity
